Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches
96,Luca Bombino,us USA,DF,San Diego FC,19-114,2006,23.6,43,1.82,32,1,2,2,2,4,4,0.17,3,0,0,0,0,1,Matches
97,Jonathan Bond,eng ENG,GK,Houston Dynamo,32-166,1993,26.0,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
98,Denis Bouanga,ga GAB,FW,LAFC,30-355,1994,29.5,140,4.75,74,10,23,19,12,2,21,0.71,10,1,3,2,5,0,Matches
99,Ousseni Bouda,bf BFA,"FW,MF",SJ Earthquakes,25-187,2000,14.8,48,3.26,35,1,1,6,4,1,2,0.14,1,0,0,1,0,0,Matches
100,Giuseppe Bovalina,au AUS,DF,Vancouver W'caps,20-355,2004,2.3,6,2.63,5,0,0,1,0,0,2,0.88,2,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
101,Michael Boxall,nz NZL,DF,Minnesota Utd,37-075,1988,29.5,32,1.09,21,9,0,1,1,0,4,0.14,2,2,0,0,0,0,Matches
102,Tyler Boyd,us USA,"MF,FW",Nashville SC,30-306,1994,1.8,6,3.35,4,0,0,0,2,0,1,0.56,1,0,0,0,0,0,Matches
103,Chris Brady,us USA,GK,Chicago Fire,21-243,2004,27.4,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
104,Claudio Bravo,ar ARG,DF,Portland Timbers,28-233,1997,3.7,7,1.91,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
105,David Brekalo,si SVN,DF,Orlando City,26-333,1998,26.7,39,1.46,33,1,2,1,0,2,5,0.19,5,0,0,0,0,0,Matches
106,Luke Brennan,us USA,"FW,MF",Atlanta Utd,20-250,2005,5.9,14,2.37,9,0,2,1,2,0,1,0.17,0,0,0,0,1,0,Matches
107,Brenner,br BRA,"FW,MF",FC Cincinnati,25-289,2000,5.7,19,3.31,15,0,1,3,0,0,4,0.70,2,0,1,1,0,0,Matches
108,Sebastian Breza,ca CAN,GK,CF Montréal,27-231,1998,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
109,Yannick Bright,it ITA,MF,Inter Miami,24-059,2001,15.0,19,1.26,16,0,0,1,2,0,5,0.33,4,0,0,1,0,0,Matches
