Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
78,Simon Becher,us USA,"FW,MF",St. Louis,26-104,1999,13.9,7,6,2,4,1,4,11,36.4,7,10,2,8,6,13,16,0,Matches
79,Alejandro Bedoya,us USA,"MF,DF",Philadelphia Union,38-186,1987,8.3,22,17,8,9,5,9,15,60.0,6,13,2,11,5,27,11,0,Matches
80,Jon Bell,jm JAM,DF,Seattle Sounders,28-067,1997,14.7,17,12,10,6,1,7,10,70.0,3,15,8,7,15,32,73,3,Matches
81,Ben Bender,us USA,"MF,FW",Philadelphia Union,24-239,2001,3.6,3,1,1,2,0,2,8,25.0,6,3,0,3,0,3,0,0,Matches
82,Ramiro Benetti,br BRA,"MF,DF",FC Dallas,32-163,1993,25.6,53,27,20,26,7,20,53,37.7,33,37,5,32,40,93,61,1,Matches
83,Christian Benteke,be BEL,FW,D.C. United,34-333,1990,20.9,7,3,2,4,1,4,6,66.7,2,19,3,16,1,8,23,1,Matches
84,Gustav Berggren,se SWE,MF,NY Red Bulls,28-055,1997,3.9,6,5,2,1,3,2,4,50.0,2,3,1,2,5,11,3,0,Matches
85,Sebastian Berhalter,us USA,MF,Vancouver W'caps,24-168,2001,25.5,68,37,24,30,14,26,41,63.4,15,26,7,19,34,102,42,3,Matches
86,Federico Bernardeschi,it ITA,"FW,MF",Toronto FC,31-258,1994,14.4,11,7,5,5,1,3,7,42.9,4,7,1,6,2,13,7,1,Matches
87,Juan Berrocal,es ESP,DF,Atlanta Utd,26-181,1999,6.4,10,7,6,4,0,5,9,55.6,4,8,7,1,14,24,30,0,Matches
88,Miguel Berry,es ESP,FW,LA Galaxy,28-046,1997,7.6,1,1,0,1,0,0,0,,0,2,0,2,2,3,4,0,Matches
89,Pep Biel,es ESP,"MF,FW",Charlotte,29-057,1996,22.3,18,15,3,9,6,8,22,36.4,14,13,0,13,16,34,9,1,Matches
90,David Bingham,us USA,GK,Charlotte,36-013,1989,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
91,Guilherme Biro,br BRA,DF,Austin,25-184,2000,29.1,41,25,21,13,7,23,33,69.7,10,47,14,33,43,84,120,0,Matches
92,Tristan Blackmon,us USA,DF,Vancouver W'caps,29-081,1996,23.0,24,15,14,8,2,11,13,84.6,2,23,11,12,28,52,109,3,Matches
93,Andre Blake,jm JAM,GK,Philadelphia Union,34-345,1990,20.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,2,Matches
94,Emmanuel Boateng,gh GHA,FW,San Diego FC,31-288,1994,2.7,6,3,3,3,0,1,3,33.3,2,2,1,1,3,9,2,0,Matches
95,Wiktor Bogacz,pl POL,FW,NY Red Bulls,21-110,2004,3.5,2,2,1,1,0,1,2,50.0,1,1,1,0,0,2,2,0,Matches
96,Luca Bombino,us USA,DF,San Diego FC,19-114,2006,23.6,63,42,29,26,8,31,51,60.8,20,20,3,17,31,94,74,2,Matches
97,Jonathan Bond,eng ENG,GK,Houston Dynamo,32-166,1993,26.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,12,2,Matches
98,Denis Bouanga,ga GAB,FW,LAFC,30-355,1994,29.5,22,12,6,8,8,9,28,32.1,19,16,1,15,5,27,16,0,Matches
99,Ousseni Bouda,bf BFA,"FW,MF",SJ Earthquakes,25-187,2000,14.8,17,12,5,5,7,8,16,50.0,8,21,1,20,9,26,10,0,Matches
100,Giuseppe Bovalina,au AUS,DF,Vancouver W'caps,20-355,2004,2.3,3,3,1,2,0,2,5,40.0,3,6,3,3,2,5,6,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Michael Boxall,nz NZL,DF,Minnesota Utd,37-075,1988,29.5,21,12,17,3,1,9,13,69.2,4,29,21,8,22,43,190,0,Matches
102,Tyler Boyd,us USA,"MF,FW",Nashville SC,30-306,1994,1.8,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0,Matches
103,Chris Brady,us USA,GK,Chicago Fire,21-243,2004,27.4,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,18,3,Matches
104,Claudio Bravo,ar ARG,DF,Portland Timbers,28-233,1997,3.7,14,7,8,4,2,9,14,64.3,5,13,3,10,7,21,17,0,Matches
105,David Brekalo,si SVN,DF,Orlando City,26-333,1998,26.7,47,25,32,12,3,30,52,57.7,22,28,13,15,28,75,121,0,Matches
106,Luke Brennan,us USA,"FW,MF",Atlanta Utd,20-250,2005,5.9,4,4,3,1,0,2,3,66.7,1,2,0,2,0,4,3,0,Matches
107,Brenner,br BRA,"FW,MF",FC Cincinnati,25-289,2000,5.7,5,3,1,2,2,4,5,80.0,1,3,0,3,1,6,1,0,Matches
108,Sebastian Breza,ca CAN,GK,CF Montréal,27-231,1998,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
109,Yannick Bright,it ITA,MF,Inter Miami,24-059,2001,15.0,57,36,27,24,6,21,43,48.8,22,32,6,26,19,76,32,2,Matches
110,Andrew Brody,us USA,DF,Sporting KC,30-182,1995,5.5,9,8,5,3,1,6,7,85.7,1,4,1,3,4,13,14,0,Matches
111,Brandt Bronico,us USA,MF,Charlotte,30-134,1995,25.8,40,29,17,19,4,16,33,48.5,17,29,12,17,30,70,38,0,Matches
112,Lachlan Brook,au AUS,FW,Real Salt Lake,24-266,2001,1.1,3,2,1,2,0,1,2,50.0,1,2,0,2,0,3,0,0,Matches
113,Javain Brown,jm JAM,DF,Real Salt Lake,26-237,1999,2.2,6,4,2,3,1,2,3,66.7,1,0,0,0,1,7,8,0,Matches
114,Tristan Brown,us USA,"DF,FW",Columbus Crew,18-015,2007,0.5,2,1,0,0,2,1,1,100.0,0,0,0,0,0,2,4,0,Matches
115,Gastón Brugman,uy URU,MF,Nashville SC,33-055,1992,14.2,37,21,17,14,6,21,44,47.7,23,20,5,15,22,59,20,1,Matches
116,Snyder Brunell,us USA,"MF,FW",Seattle Sounders,18-223,2007,3.3,9,6,4,3,2,4,6,66.7,2,4,0,4,5,14,3,2,Matches
117,Ola Brynhildsen,no NOR,"FW,MF",Toronto FC,26-188,1999,14.8,13,11,2,8,3,5,8,62.5,3,5,1,4,2,15,5,0,Matches
118,Pavel Bucha,cz CZE,MF,FC Cincinnati,27-235,1998,32.0,49,28,21,23,5,25,45,55.6,20,30,4,26,23,72,37,2,Matches
119,Noel Buck,eng ENG,"MF,DF",NE Revolution,20-210,2005,0.3,1,1,1,0,0,0,1,0.0,1,3,0,3,0,1,1,0,Matches
120,Noel Buck,eng ENG,"MF,DF",SJ Earthquakes,20-210,2005,1.7,4,1,1,2,1,2,5,40.0,3,3,1,2,1,5,2,0,Matches
121,Dawid Bugaj,pl POL,DF,CF Montréal,21-115,2004,19.2,36,18,19,14,3,17,33,51.5,16,19,10,9,21,57,55,1,Matches
122,Osman Bukari,gh GHA,"FW,MF",Austin,26-323,1998,25.8,33,17,13,15,5,13,34,38.2,21,24,0,24,14,47,16,0,Matches
123,Teal Bunbury,us USA,"FW,MF",Nashville SC,35-247,1990,2.3,2,1,1,1,0,1,4,25.0,3,4,1,3,1,3,1,0,Matches
124,Roman Bürki,ch SUI,GK,St. Louis,34-352,1990,25.0,2,1,2,0,0,2,3,66.7,1,0,0,0,1,3,10,0,Matches
125,Evan Bush,us USA,GK,Columbus Crew,39-240,1986,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Sergio Busquets,es ESP,MF,Inter Miami,37-108,1988,31.9,81,54,31,35,15,52,80,65.0,28,40,9,31,36,117,29,2,Matches
127,Brandon Bye,us USA,DF,NE Revolution,29-337,1995,12.3,16,8,11,3,2,11,21,52.4,10,24,13,11,10,26,39,2,Matches
128,Nathan Byrne,eng ENG,DF,Charlotte,33-149,1992,17.0,25,18,18,5,2,17,33,51.5,16,13,7,6,8,33,49,1,Matches
129,Kevin Cabral,fr FRA,"FW,MF",Colorado Rapids,26-114,1999,8.5,16,10,4,5,7,8,16,50.0,8,14,2,12,5,21,6,0,Matches
130,Rafael Cabral,br BRA,GK,Real Salt Lake,35-165,1990,34.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,15,1,Matches
131,Kenji Cabrera,pe PER,"MF,FW",Vancouver W'caps,22-278,2003,2.0,6,4,1,1,4,2,4,50.0,2,2,0,2,1,7,4,0,Matches
132,Noel Caliskan,de GER,"DF,MF",Real Salt Lake,25-064,2000,22.1,50,28,31,11,8,31,48,64.6,17,29,11,18,24,74,54,0,Matches
133,Drake Callender,us USA,GK,Inter Miami,28-025,1997,2.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
134,Brandon Cambridge,us USA,FW,Charlotte,23-060,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
135,Leonardo Campana,ec ECU,FW,NE Revolution,25-100,2000,18.3,18,10,4,9,5,6,23,26.1,17,20,5,15,2,20,29,1,Matches
136,George Campbell,us USA,DF,CF Montréal,24-132,2001,14.9,32,22,20,11,1,16,22,72.7,6,21,15,6,22,54,68,3,Matches
137,Reggie Cannon,us USA,DF,Colorado Rapids,27-143,1998,27.1,38,23,22,12,4,21,33,63.6,12,21,8,13,54,92,73,1,Matches
138,Christian Cappis,us USA,MF,FC Dallas,26-080,1999,9.1,13,9,1,12,0,6,15,40.0,9,16,9,7,4,17,18,0,Matches
139,Gustavo Caraballo,ve VEN,"MF,FW",Orlando City,17-064,2008,0.2,1,0,1,0,0,0,0,,0,1,1,0,0,1,0,0,Matches
140,Felipe Carballo,uy URU,MF,NY Red Bulls,29-028,1996,10.5,31,21,16,11,4,11,29,37.9,18,20,4,16,14,45,18,0,Matches
141,Felipe Carballo,uy URU,MF,Portland Timbers,29-028,1996,1.4,2,1,0,1,1,2,5,40.0,3,4,2,2,2,4,2,0,Matches
142,Alan Carleton,us USA,"MF,FW",Nashville SC,20-226,2005,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
143,Antonio Carlos,br BRA,DF,Houston Dynamo,32-239,1993,6.7,5,4,4,0,1,4,4,100.0,0,8,5,3,11,16,54,0,Matches
144,Wikelman Carmona,ve VEN,"FW,MF",NY Red Bulls,22-250,2003,21.0,40,25,11,20,9,16,37,43.2,21,41,2,39,13,53,16,1,Matches
145,Maximo Carrizo,us USA,"MF,FW",NYCFC,17-246,2008,1.0,2,1,1,1,0,0,1,0.0,1,2,0,2,1,3,0,0,Matches
146,Julio Cascante,cr CRC,DF,Austin,32-029,1993,8.4,4,3,2,2,0,3,7,42.9,4,9,8,1,10,14,38,0,Matches
147,Jackson Castro,us USA,MF,Vancouver W'caps,22-312,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
148,Nico Cavallo,us USA,"DF,MF",NYCFC,23-309,2001,3.5,15,8,12,3,0,9,15,60.0,6,4,0,4,7,22,16,0,Matches
149,Brayan Ceballos,co COL,DF,NE Revolution,24-161,2001,28.3,51,34,36,15,0,23,31,74.2,8,45,22,23,43,94,150,2,Matches
150,Roman Celentano,us USA,GK,FC Cincinnati,25-048,2000,30.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,15,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
151,Edwin Cerrillo,us USA,MF,LA Galaxy,25-029,2000,29.7,41,23,16,21,4,19,36,52.8,17,37,10,27,18,59,39,1,Matches
152,Dylan Chambost,fr FRA,MF,Columbus Crew,28-074,1997,29.2,41,25,12,18,11,16,36,44.4,20,34,7,27,25,66,36,1,Matches
